City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
131,Yellowknife,CA,74.32,broken clouds,62.456,-114.3525,The Explorer Hotel
132,Bethel,US,76.93,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
134,Mahebourg,MU,72.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
141,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
144,Daru,PG,77.65,scattered clouds,-9.0763,143.2092,Daru Lodge
147,Tual,ID,80.85,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
148,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
149,Itacoatiara,BR,80.44,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
151,Harper,LR,77.18,broken clouds,4.375,-7.7169,Screensaver
163,Macomer,IT,74.23,clear sky,40.262,8.7699,B&B La Casa Antica
166,Kavieng,PG,81.7,moderate rain,-2.5744,150.7967,Nusa Island Retreat
170,Kanjiza,RS,79.32,broken clouds,46.0667,20.05,Art Garni Hotel
177,Wahiawa,US,77.79,broken clouds,21.5028,-158.0236,Aloha Wahiawa
180,Kaseda,JP,79.84,light rain,31.4167,130.3167,Sun Stay Kaseda
181,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
186,Shingu,JP,76.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
189,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
190,Aksarayskiy,RU,78.75,clear sky,46.7924,48.0119,
191,Pedasi,PA,81.72,overcast clouds,7.5333,-80.0333,Selina Pedasi
195,North Adams,US,76.08,light rain,42.7009,-73.1087,The Porches Inn at MASS MoCA
198,Dingle,PH,76.19,light rain,10.9995,122.6711,SEGAYA PROPERTY
200,Ivankiv,UA,80.83,clear sky,50.9386,29.8943,Ekohospresurs
201,Tabou,CI,77.38,broken clouds,4.423,-7.3528,hotêl doufoulougou
204,Takoradi,GH,76.51,scattered clouds,4.8845,-1.7554,Raybow International Hotel
207,Manggar,ID,79.61,broken clouds,-2.8833,108.2667,Guest Hotel
210,Tiznit,MA,84.96,overcast clouds,29.5833,-9.5,
213,Banikoara,BJ,79.86,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
216,Flin Flon,CA,80.44,smoke,54.7682,-101.865,Victoria Inn Flin Flon
222,Svetlogorsk,BY,73.44,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
223,Koson,UZ,80.92,scattered clouds,39.0375,65.585,
224,Sonqor,IR,79.61,clear sky,34.7837,47.6004,رینگ و لاستیک میلاد (غیاثی)
226,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
229,Shellbrook,CA,78.03,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
230,Padang,ID,77.76,overcast clouds,-0.9492,100.3543,Mercure Padang
232,Komsomolskiy,UZ,80.02,scattered clouds,40.4272,71.7189,Ikathouse
233,Hamilton,US,80.02,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
236,Trelleborg,SE,70.2,overcast clouds,55.3751,13.1569,Hotell Dannegården
239,Garissa,KE,77.07,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
243,Harnosand,SE,77.0,clear sky,62.6323,17.9379,First Hotel Stadt
246,La Seyne-Sur-Mer,FR,83.25,few clouds,43.0982,5.8847,Hôtel Kyriad Prestige TOULON
249,Le Vauclin,MQ,84.33,fog,14.5452,-60.8388,Hôtel Cap Macabou
250,Santa Isabel Do Rio Negro,BR,80.4,overcast clouds,-0.4139,-65.0192,Hotel GSA
255,Katsuura,JP,73.51,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
258,Dmitriyevskoye,RU,77.63,broken clouds,45.8053,41.8967,
262,Eureka,US,84.67,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
264,Ambulu,ID,74.39,clear sky,-8.345,113.6058,Hotel Ambulu Jember
265,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
269,Straseni,MD,71.53,scattered clouds,47.1414,28.6103,Castania Holiday Homes
273,Los Llanos De Aridane,ES,70.12,few clouds,28.6585,-17.9182,Valle Aridane
275,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
281,Ilebo,CD,72.79,clear sky,-4.3167,20.5833,Hôtel BUMAK
282,Old Shinyanga,TZ,72.84,overcast clouds,-3.55,33.4,
283,Tayu,ID,79.38,scattered clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
284,Kudahuvadhoo,MV,81.77,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
285,San Vicente,AR,77.38,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
288,Lieksa,FI,70.83,clear sky,63.3167,30.0167,Kaatrahovi
289,Parakou,BJ,76.14,light rain,9.3372,2.6303,Benin Metropole Hotel
293,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
298,Phan Thiet,VN,78.06,overcast clouds,10.9333,108.1,Hotel Saigon-PT
300,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
301,Fukuma,JP,80.6,light rain,33.7667,130.4667,Masago
307,Kropotkin,RU,74.43,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
308,Anshan,CN,70.9,overcast clouds,41.1236,122.99,Ibis Anshan Shengli Square
315,Tura,IN,77.67,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
319,Kirakira,SB,77.97,scattered clouds,-10.4544,161.9205,SanBiz Lodge
322,Malmo,SE,70.9,overcast clouds,55.6059,13.0007,Clarion Collection Hotel Temperance
324,Eyl,SO,78.87,overcast clouds,7.9803,49.8164,Amiin Hotel
327,Jiayuguan,CN,75.29,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
328,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
329,Sao Marcos,BR,72.57,clear sky,-28.9711,-51.0681,Hotel São Marcos
330,Srednekolymsk,RU,76.01,clear sky,67.45,153.6833,
331,Barcelos,PT,73.29,overcast clouds,41.5388,-8.6151,Hotel Do Terço
332,Pasighat,IN,76.23,few clouds,28.0667,95.3333,Siang Guest House
337,Vanimo,PG,76.93,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
339,Naze,JP,78.26,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
341,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
343,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
349,Bandarbeyla,SO,77.76,few clouds,9.4942,50.8122,JABIR HOTEL
350,Fortuna,US,84.42,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
351,Sanandaj,IR,78.19,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
352,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
353,Bassar,TG,83.26,light rain,9.25,0.7833,RGG
359,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
362,Marsh Harbour,BS,82.85,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
364,Quincy,US,83.79,broken clouds,42.2529,-71.0023,Brookside House
365,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
366,Malartic,CA,71.42,broken clouds,48.1335,-78.1328,Camping Regional De Malartic
367,Hirara,JP,84.07,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
370,Lorengau,PG,80.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
371,Xingcheng,CN,72.66,overcast clouds,40.6167,120.7167,New Century Hotel
375,Manokwari,ID,78.84,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
376,Malakal,SS,70.92,light rain,9.5334,31.6605,Nile Palace Hotel
377,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
383,Kirundo,BI,72.37,scattered clouds,-2.5833,30.1667,Maranatha Hotel
384,Cape Coast,GH,76.62,broken clouds,5.1053,-1.2466,Samrit Hotel
385,Xunchang,CN,73.33,light rain,28.4543,104.715,Jiabin Inn
386,Kumba,CM,71.83,moderate rain,4.6363,9.4469,El Bethel Hotel
390,Edson,CA,71.74,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
393,Bataipora,BR,83.66,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
394,Abha,SA,73.22,few clouds,18.2164,42.5053,Abha Hotel
398,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
